Fecha;AAPL;MSFT;NVDA;GOOGL;META;AMZN;JPM;BAC;GS;V;XOM;CVX;JNJ;UNH;LLY;WMT;PG;KO;MCD;CAT;BA;GE;TSLA;COPX;GLOB;IBB;MELI;RIO;PBR;QCOM;EWZ
2026-06-29;14,35;12,7;8,42;6,35844;24,33;1,725;22,81;0,006362;81,6;19,54;14,09;10,83;17,72;13,02;22,54;6,6;10,16;16,97;11,49;53,5;9,21;47,76;28,29;5,6;1,725;7,26;14,55;12,18;16,79;17,74;17,82
2026-06-30;14,93;12,91;8,6;6,489576;24,1;1,725;22,4;0,006362;80,6;19,69;14,05;10,68;17,59;12,92;22,14;6,47;10,08;16,81;11,6;54,4;9,22;47,89;28,55;5,71;1,67;7,24;14,6;12,25;16,69;17,4;17,76
2026-07-01;15,22;13,25;8,61;6,590451;26,3;1,75;22,98;0,006362;81,5;20,1;14,05;10,65;17,46;13,24;21,89;6,21;10,12;16,72;11,61;51,6;9,4;48,07;29,5;5,65;1,82;7,3;14,93;12,07;16,5;17,2;17,6
2026-07-02;15,92;13,5;8,38;6,593813;25,33;1,765;22,91;0,006362;80,8;20,6;14,17;10,91;18,07;13,19;22,29;6,47;10,36;17,15;12,1;49,3;9,75;48,41;27,45;5,64;1,87;7,38;15,15;12,18;16,48;16,25;17,7
2026-07-03;15,79;13,67;8,52;6,64425;25,52;1,775;23,5;0,006362;80,8;20,4;14,24;11,28;18,08;13,06;22,77;6,63;10,47;17,4;12,19;51,9;9,8;48,25;27,31;5,73;1,87;7,75;15,15;12,53;17,25;16,7;18,05
2026-07-04;15,79;13,67;8,52;6,64425;25,52;1,775;23,5;0,006362;80,8;20,4;14,24;11,28;18,08;13,06;22,77;6,63;10,47;17,4;12,19;51,9;9,8;48,25;27,31;5,73;1,87;7,75;15,15;12,53;17,25;16,7;18,05
2026-07-05;15,79;13,67;8,52;6,64425;25,52;1,775;23,5;0,006362;80,8;20,4;14,24;11,28;18,08;13,06;22,77;6,63;10,47;17,4;12,19;51,9;9,8;48,25;27,31;5,73;1,87;7,75;15,15;12,53;17,25;16,7;18,05
2026-07-06;16,15;13,34;8,46;6,691325;25,94;1,76;23,12;0,00659;83,4;20,2;14,12;10,83;17,87;13,0;22,27;6,35;10,31;17,12;12,05;49,99;10,02;48,56;28,8;5,82;1,78;7,49;15,51;12,11;16,89;17,4;18,05
2026-07-07;15,99;13,45;8,44;6,694687;26,55;1,78;23,25;0,00659;82,8;20,06;14,6;11,26;18,4;13,33;22,63;6,4;10,5;17,29;12,17;47,86;9,95;46,9;27,7;5,51;1,8;7,55;15,56;11,96;17,27;16,99;17,9
2026-07-08;16,23;13,34;8,79;6,624075;26,19;1,75;22,79;0,00659;81,7;19,88;14,6;11,43;18,19;13,24;22,4;6,54;10,23;17,28;11,98;49,28;9,95;46,0;27,15;5,39;1,71;7,51;15,55;11,46;17,79;17,26;17,8
2026-07-09;16,23;13,34;8,79;6,624075;26,19;1,75;22,79;0,00659;81,7;19,88;14,6;11,43;18,19;13,24;22,4;6,54;10,23;17,28;11,98;49,28;9,95;46,0;27,15;5,39;1,71;7,51;15,55;11,46;17,79;17,26;17,8
2026-07-10;16,26;13,26;9,03;6,479489;28,68;1,76;23,1;0,00659;83,8;19,93;14,29;11,29;17,69;13,28;21,93;6,55;10,15;17,2;11,85;49,1;9,58;46,3;28,09;5,67;1,725;7,34;15,95;11,73;17,84;17,69;18,59
2026-07-11;16,26;13,26;9,03;6,479489;28,68;1,76;23,1;0,00659;83,8;19,93;14,29;11,29;17,69;13,28;21,93;6,55;10,15;17,2;11,85;49,1;9,58;46,3;28,09;5,67;1,725;7,34;15,95;11,73;17,84;17,69;18,59
2026-07-12;16,26;13,26;9,03;6,479489;28,68;1,76;23,1;0,00659;83,8;19,93;14,29;11,29;17,69;13,28;21,93;6,55;10,15;17,2;11,85;49,1;9,58;46,3;28,09;5,67;1,725;7,34;15,95;11,73;17,84;17,69;18,59
2026-07-13;16,38;13,57;8,82;6,429052;28,15;1,775;23,15;0,00659;83,0;20,48;15,0;11,79;17,82;13,33;21,94;6,59;10,24;17,36;11,78;48,05;9,23;45,42;27,18;5,58;1,82;7,19;15,97;11,56;18,5;17,19;18,34
2026-07-14;16,19;13,3;9,05;6,503026;28,22;1,795;23,6;0,00659;90,4;20,44;14,94;11,72;17,7;13,23;21,3;6,55;10,14;17,23;11,75;48,39;9,36;45,8;27,33;5,9;1,795;7,27;16,13;12,04;18,56;16,8;18,63
2026-07-15;16,86;13,62;9,18;6,731675;29,25;1,84;24,05;0,00659;91,0;20,49;14,96;11,35;17,02;13,11;21,43;6,45;10,49;17,0;11,62;47,1;9,37;46,47;27,27;5,74;1,83;7,28;15,8;12,29;18,42;16,83;18,61
2026-07-16;17,26;13,93;8,96;6,422327;28,65;1,815;23,7;0,00659;86,9;20,84;15,17;11,93;17,3;13,29;21,54;6,64;10,45;17,49;11,79;45,46;9,35;43,8;27,0;5,55;1,885;7,25;15,97;11,79;18,2;16,05;18,3
